Date,Sales_USD
2017-06-22,
2017-06-23,1020.3
2017-06-24,1240.84
2017-06-25,517.5500000000000
2017-06-26,424.6300000000000
2017-06-27,2092.9100000000000
2017-06-28,1247.2600000000000
2017-06-29,2185.7200000000000
2017-06-30,1708.1500000000000
2017-07-01,3140.8000000000000
2017-07-02,2924.6100000000000
2017-07-03,7249.790000000000
2017-07-04,13505.930000000000
2017-07-05,1840.2900000000000
2017-07-06,7022.170000000000
2017-07-07,7082.510000000000
2017-07-08,3227.8800000000000
2017-07-09,969.1100000000010
2017-07-10,4910.050000000000
2017-07-11,5709.370000000000
2017-07-12,1778.7300000000100
2017-07-13,5300.970000000000
2017-07-14,448.3999999999940
2017-07-15,549.6900000000020
2017-07-16,319.1900000000020
2017-07-17,1452.200000000000
2017-07-18,2921.6700000000000
2017-07-19,3436.75
2017-07-20,2352.709999999990
2017-07-21,2135.0100000000100
2017-07-22,1044.7599999999900
2017-07-23,421.6999999999970
2017-07-24,1126.820000000010
2017-07-25,1769.4700000000000
2017-07-26,314.50999999999500
2017-07-27,111.76000000000900
2017-07-28,374.0
2017-07-29,1006.7999999999900
2017-07-30,1478.9900000000100
2017-07-31,213.4499999999970
2017-08-01,109.0
2017-08-02,525.7400000000050
2017-08-03,4599.899999999990
2017-08-04,0.0
2017-08-05,1518.9300000000100
2017-08-06,0.0
2017-08-07,76.51999999998950
2017-08-08,997.6000000000060
2017-08-09,267.3600000000010
2017-08-10,181.0399999999940
2017-08-11,659.3700000000100
2017-08-12,1038.5199999999900
2017-08-13,805.2900000000080
2017-08-14,503.86999999999500
2017-08-15,260.8899999999990
2017-08-16,210.02999999999900
2017-08-17,150.27999999999900
2017-08-18,88.84000000001110
2017-08-19,118.64999999999400
2017-08-20,162.3399999999970
2017-08-21,792.6200000000100
2017-08-22,87.40999999998890
2017-08-23,155.22000000000100
2017-08-24,0.0
2017-08-25,256.6399999999990
2017-08-26,98.9600000000064
2017-08-27,0.0
2017-08-28,1145.8500000000100
2017-08-29,91.69999999999710
2017-08-30,174.3000000000030
2017-08-31,103.38999999999900
2017-09-01,506.1100000000010
2017-09-02,69.27999999999880
2017-09-03,0.0
2017-09-04,314.6999999999970
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,76.11999999999530
2017-09-09,0.0
2017-09-10,202.02000000000400
2017-09-11,139.3399999999970
2017-09-12,81.36999999999530
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-16,70.99000000000520
2017-09-17,133.72000000000100
2017-09-18,63.35000000000580
2017-09-19,378.59999999999100
2017-09-20,372.75
2017-09-21,208.54000000000800
2017-09-22,71.13999999999940
2017-09-23,243.56999999999200
2017-09-24,56.13999999999940
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,423.0100000000090
2017-09-28,36.19999999999710
2017-09-29,314.34999999999100
2017-09-30,160.52000000000400
2017-10-01,449.5200000000040
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,58.59999999999130
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,93.04000000000820
2017-10-09,26.630000000004700
2017-10-10,0.0
2017-10-11,66.71999999998660
2017-10-12,39.26000000000930
2017-10-13,354.84999999999100
2017-10-14,254.86000000000100
2017-10-15,177.75
2017-10-16,179.27000000000400
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,27.75999999999480
2017-10-20,96.75
2017-10-21,78.18000000000760
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,44.779999999998800
2017-10-26,268.91999999999800
2017-10-27,178.75
2017-10-28,177.88000000000500
2017-10-29,21.25999999999480
2017-10-30,217.44000000000200
2017-10-31,221.5899999999970
2017-11-01,111.08000000000200
2017-11-02,111.9600000000060
2017-11-03,0.0
2017-11-04,86.98999999999070
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,265.7100000000060
2017-11-08,0.0
2017-11-09,148.27000000000400
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,91.11000000000060
2017-11-13,63.06999999999240
2017-11-14,67.77999999999880
2017-11-15,137.05999999999800
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,71.91999999999830
2017-11-20,109.74000000000500
2017-11-21,381.11999999999500
2017-11-22,694.5800000000020
2017-11-23,3628.3900000000000
2017-11-24,6929.450000000010
2017-11-25,2225.5
2017-11-26,2845.079999999990
2017-11-27,1621.5600000000000
2017-11-28,5106.580000000020
2017-11-29,30205.330000000000
2017-11-30,23661.360000000000
2017-12-01,36847.35000000000
2017-12-02,268278.67000000000
2017-12-03,1097335.38
2017-12-04,2432498.15
2017-12-05,2331613.07
2017-12-06,1902382.5200000000
2017-12-07,1806457.000000000
2017-12-08,2136996.880000000
2017-12-09,1846554.9500000000
2017-12-10,1377836.9700000000
2017-12-11,1137928.8400000000
2017-12-12,828522.4300000020
2017-12-13,633725.3899999970
2017-12-14,608442.2100000010
2017-12-15,460476.48000000000
2017-12-16,1051346.880000000
2017-12-17,670614.4700000030
2017-12-18,512122.1099999990
2017-12-19,422591.1400000010
2017-12-20,925710.7899999990
2017-12-21,1169450.2800000000
2017-12-22,1973455.170000000
2017-12-23,2145520.0
2017-12-24,1643181.0200000000
2017-12-25,1831463.460000000
2017-12-26,986064.7100000010
2017-12-27,654561.2199999990
2017-12-28,388203.90000000200
2017-12-29,353035.1499999990
2017-12-30,129374.45000000300
2017-12-31,187805.77999999400
2018-01-01,143409.09000000400
2018-01-02,207347.97999999700
2018-01-03,134051.3200000000
