Collection,Datetime_updated_seconds,Price_USD
Axie,2018-12-16 23:19:49,2.492779274594908
Axie,2018-12-16 22:27:13,2.4453232812500003
Axie,2018-12-16 22:22:18,25.768500000000003
Axie,2018-12-16 21:55:43,1.7058747
Axie,2018-12-16 21:37:23,11.889346592667
Axie,2018-12-16 20:53:58,12.943551351273149
Axie,2018-12-16 18:45:39,3.014910026302084
Axie,2018-12-16 18:43:43,8.589500000000001
Axie,2018-12-16 18:27:33,1.2884250000000002
Axie,2018-12-16 18:19:53,30.23757509548612
Axie,2018-12-16 17:43:47,19.75585000000001
Axie,2018-12-16 16:08:29,2.8958611138117285
Axie,2018-12-16 16:05:10,3.4358000000000004
Axie,2018-12-16 14:24:29,7.301075000000003
Axie,2018-12-16 14:20:08,5.981214815972222
Axie,2018-12-16 12:48:46,5.3360943209876535
Axie,2018-12-16 09:16:36,4.2590995983796285
Axie,2018-12-16 08:09:06,6.442125000000001
Axie,2018-12-16 06:03:06,10.736875
Axie,2018-12-16 05:07:13,1.7179000000000002
Axie,2018-12-16 01:15:07,1.7093105000000004
Axie,2018-12-16 00:57:36,1.632005
Axie,2018-12-16 00:56:56,1.632005
Axie,2018-12-15 23:01:43,7.990450000000001
Axie,2018-12-15 22:58:50,8.411
Axie,2018-12-15 22:32:36,4.12139
Axie,2018-12-15 22:18:20,3.78495
Axie,2018-12-15 21:30:07,8.326890000000002
Axie,2018-12-15 21:15:08,7.48579
Axie,2018-12-15 19:09:54,4.5027237125
Axie,2018-12-15 19:09:24,4.2055
Axie,2018-12-15 18:53:39,3.78495
Axie,2018-12-15 18:41:01,3.8077800889274687
Axie,2018-12-15 18:35:15,2.723888721064815
Axie,2018-12-15 18:31:37,2.5233
Axie,2018-12-15 18:22:07,6.30825
Axie,2018-12-15 17:31:57,2.5233
Axie,2018-12-15 17:22:10,1.51398
Axie,2018-12-15 16:27:04,4.2055
Axie,2018-12-15 14:31:06,3.78495
Axie,2018-12-15 13:43:29,2.1485578246527783
Axie,2018-12-15 12:20:01,2.170646434606481
Axie,2018-12-15 12:05:50,4.2055
Axie,2018-12-15 06:23:05,2.2747082222222224
Axie,2018-12-15 02:42:42,6.30825
Axie,2018-12-14 22:35:04,3.2751080000000004
Axie,2018-12-14 21:36:50,1.586908
Axie,2018-12-14 20:39:18,4.05168
Axie,2018-12-14 19:00:41,2.36348
Axie,2018-12-14 17:48:19,1.6882
Axie,2018-12-14 16:02:43,2.5921279322222217
Axie,2018-12-14 14:44:59,2.5323
Axie,2018-12-14 14:21:16,3.79845
Axie,2018-12-14 10:14:19,3.3764
Axie,2018-12-14 10:01:29,3.79845
